,close,high,low,open,startTime,time,volume
0,683.5,700.0,648.25,650.0,2020-04-13T14:00:00+00:00,1586786400000.0,28947.312925
1,718.75,721.5,673.0,683.5,2020-04-13T15:00:00+00:00,1586790000000.0,12576.375225
2,689.0,718.75,676.5,718.75,2020-04-13T16:00:00+00:00,1586793600000.0,13153.0471
3,680.5,696.75,677.25,689.0,2020-04-13T17:00:00+00:00,1586797200000.0,12915.7956
4,686.5,697.25,680.5,680.5,2020-04-13T18:00:00+00:00,1586800800000.0,7914.43665
5,716.25,736.75,686.5,686.5,2020-04-13T19:00:00+00:00,1586804400000.0,13222.09545
6,728.75,743.25,716.25,716.25,2020-04-13T20:00:00+00:00,1586808000000.0,8793.8708
7,713.25,754.25,702.75,728.75,2020-04-13T21:00:00+00:00,1586811600000.0,36677.19865
8,720.5,730.0,708.5,713.25,2020-04-13T22:00:00+00:00,1586815200000.0,8206.25895
9,706.25,730.5,691.0,720.5,2020-04-13T23:00:00+00:00,1586818800000.0,20763.263
10,710.75,722.5,705.5,706.25,2020-04-14T00:00:00+00:00,1586822400000.0,19233.829375
11,717.25,718.5,696.5,710.75,2020-04-14T01:00:00+00:00,1586826000000.0,14928.06045
12,725.0,735.0,716.25,717.25,2020-04-14T02:00:00+00:00,1586829600000.0,3183.964475
13,733.5,734.75,712.5,725.0,2020-04-14T03:00:00+00:00,1586833200000.0,15969.77005
14,728.5,758.0,727.0,733.5,2020-04-14T04:00:00+00:00,1586836800000.0,59362.12975
15,729.0,741.5,721.5,728.5,2020-04-14T05:00:00+00:00,1586840400000.0,28128.225575
16,717.25,729.0,710.0,729.0,2020-04-14T06:00:00+00:00,1586844000000.0,7737.9915
17,684.25,723.25,682.0,717.25,2020-04-14T07:00:00+00:00,1586847600000.0,21771.520275
18,678.75,686.0,662.5,684.25,2020-04-14T08:00:00+00:00,1586851200000.0,46812.01015
19,684.25,689.5,671.75,678.75,2020-04-14T09:00:00+00:00,1586854800000.0,15894.30795
20,683.75,701.25,683.5,684.25,2020-04-14T10:00:00+00:00,1586858400000.0,10861.605625
21,694.25,694.25,678.25,683.75,2020-04-14T11:00:00+00:00,1586862000000.0,3163.58555
22,701.5,701.5,680.5,694.25,2020-04-14T12:00:00+00:00,1586865600000.0,3584.444275
23,722.25,728.75,701.25,701.5,2020-04-14T13:00:00+00:00,1586869200000.0,17417.794475
